question,contexts,ground_truth,evolution_type,episode_done,model,chunks_provided,answer,file_names,headings,run_time,chunks
How could a 1m sea rise affect UK tidal characteristics?,"['chunk: •  UK tide gauge records show substantial year-to-year changes in coastal water levels (typically several  centimetres). We recommend that coastal decision makers account for this variability in risk  assessments, particularly for shorter-term planning horizons. Numerical modelling results presented in  this report suggest that variability observed at tide gauge sites is typically representative of long sections  of coastline (section 3.1.4).  •  The risk of coastal flood events will rise in accord with the projections of increase in time-mean sea level.  However, based on storm surge modelling work, we suggest a best estimate of no significant additional  increase in the statistics of extreme water levels associated with atmospheric storminess change only.  The largest trend found in our ensemble of surge simulations of this additional component corresponds  to a change of approximately 10cm per century for the 1-year return level, i.e. about 10% of the time- mean sea level change under the same RCP climate change scenario (section 3.2). We cannot rule out  larger trends in storm surge due to this additional component. This additional component could be either  positive (augmenting the time-mean sea level change) or negative (partially offsetting the time-mean  sea level change).  •  21 st  century projections of average wave height suggest changes of the order 10-20% and a general  tendency towards lower wave heights. Changes in extreme waves are also of order 10-20%, but there is  no agreement in the sign of change among the model projections. High resolution wave simulations  suggest that the changes in wave climate over the 21 st  century on exposed coasts will be dominated by  the global response to climate change. However, more sheltered coastal regions are likely to remain  dominated by local weather variability over the 21 st  century (section 3.3).  •  Exploratory, time-mean sea level projections to 2300 suggest that UK sea levels will continue to rise over  the coming centuries under all RCP climate change scenarios. For London and Cardiff the projection ranges  at 2300 are approximately 0.5 - 2.2m, 0.8 - 2.6m and 1.4 - 4.3m for RCP2.6, RCP4.5 and RCP8.5,  respectively. The values for Edinburgh and Belfast are substantially lower, with corresponding ranges at  2300 of approximately 0.0 - 1.7m, 0.2 - 2.1m and 0.7 - 3.6m. Compared to the 21 st  century projections,  there is a much larger degree of unquantified uncertainty associated with sea level information on these  extended time horizons. Therefore, these projections should be considered as illustrative of the potential  future changes and provide an approximate set of scenarios against which vulnerabilities can be assessed.  •  Idealised tidal simulations suggest that time-mean sea level change greater than about 1m could have a  substantial impact on tidal amplitude and other tidal characteristics around the UK, with large spatial  variations. This finding is qualitatively consistent with previous research, but the details vary among studies.   Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 4 of 133']","A sea level rise greater than about 1m could have a substantial impact on tidal amplitude and other tidal characteristics around the UK, with large spatial variations.",reasoning,True,gpt-4-turbo,sections,,,,,
What's the expected site-specific projection change post-code correction with +1.1 cm GMSL adj.?,"['chunk: The correction needed to the processing code was minimal and involved some simple refactoring of a few  lines so that baseline adjustments applied to the GMSL Monte Carlo data object were explicitly passed  through to the site-specific projections. The code fix was implemented by M.D. Palmer and then  independently checked by T. Howard. Following the refactoring of the code, the UKCP18 sea-level  projections were initially run for the four UK capital cities to check that the differences to the original  projections were consistent with the expected increase of approximately 1 cm, as discussed below. Once  this was confirmed, the code was re-run on all UKCP18 coastal grid boxes and checked against the original  projection data files. Finally, the updated projections were run on two independent software architectures  and the data files were cross-referenced and found to be a perfect match.  Since the baseline adjustment needed for GMSL was +1.1 cm it was anticipated that correction of the  processing code would lead to an approximately +1 cm (or 0.01 m) increase in site-specific projections on  all timescales. However, there is some additional subtlety due to the baseline adjustment being carried out  by individual sea-level components (see quoted text in section 2) and being convolved with the  corresponding spatial patterns of GRD (Gravity, Rotation and solid-earth Deformation, (Gregory et al.,  2019)) and local scaling between global and local expressions of sea-level change simulated by CMIP5  models (e.g., M. D. Palmer et al., 2020). These subtleties result in some small time/space dependence of the  approximate +1 cm offset. At 2100, the differences across all percentiles between the updated and original  UKCP18 projections show a range of about 0.8 cm to 1.3 cm (or 0.008 to 0.013 m, Figure 1). For the  exploratory extended UKCP18 projections at 2300, the range is a bout 0.4 cm to 1.8 cm (or 0.004 to   0.018 m, not shown).      Source: Met Office © Crown Copyright 2023 www.metoffice.gov.uk Pg 2 of 6']",The expected site-specific projection change post-code correction with +1.1 cm GMSL adjustment is approximately +1 cm (or 0.01 m).,reasoning,True,gpt-4-turbo,sections,,,,,
How does CPM link summer rain freq. to event intensity?,"['chunk: •  The CPM results do not change the UKCP18 headline message of a greater chance of warmer wetter  winters and hotter drier summers across the UK in future (Lowe et al, 2018). For 2061-80, under a high  emission scenario (RCP8.5), the CPM ensemble suggests winters will be warmer by 1.8-3.3ºC 1  and  wetter by 16-42%, whilst summers will be hotter by 3.6-5.0ºC and drier by 16-46%. In general the CPM  reinforces the results from the 12km RCM, projecting similar overall changes to UK climate. However the  CPM results do provide new information in terms of winter mean precipitation changes, changes in  extremes and changes at local scales (Section 4, Table 5.1). •  Mean temperature increases everywhere and in all seasons in future, with the greatest increases  occurring in the south. The CPM ensemble shows increases in hot summer days (3.7-6.8ºC 1  increase by  the 2070s under RCP8.5) and the frequency of hot spells, reinforcing the results of the RCM. In winter,  there is a smaller increase in temperature over Scotland in the CPM compared to the RCM, with a  smaller increase in the temperature of cold winter days and a smaller decrease in the frequency of  intense cold spells. These differences are likely related to differences in lying snow, with a greater  decrease in lying snow in the future in the RCM. •  Average winter precipitation increases in future, with the possible exception of northern Scotland where  decreases are possible. We find that the CPM shows much greater increases than the RCM (27%  compared to 16% increase 2 ), due to greater increases in the number of wet days. This may be because it  rains so often in the present-day in the RCM that there is little scope for this to increase further, although  more research is needed to investigate this. Also the better representation of convective showers and  their movement inland in the CPM may be a factor. •  Average summer precipitation decreases in future in the CPM ensemble, again with the possible  exception of northern Scotland. The average changes are broadly consistent between the CPM and RCM  ensembles, but the underlying changes in rainfall on a day-to-day and hour-to-hour basis are quite  different. In particular, it rains less often in the future, but the rain is heavier when it does – and this shift  to more intense rainfall in summer is more pronounced in the CPM projections. These changes in rainfall  are primarily driven by increased moisture in the atmosphere with warming, leading to heavier rainfall,  which is captured by both the CPM and RCM. However, local processes within the storms themselves  can amplify increases, and these are only represented in the CPM projections. •  Hourly precipitation extremes increase in future. The CPM shows increases of 25% 3  in the precipitation  associated with an event that occurs typically once every 2 years. RCM projections for hourly extremes  are considered unreliable. Use of projections •  The release of the CPM projections provides further capability to the UKCP18 suite of climate projection  tools. The CPM provides information on changes in hourly rainfall and for local areas that can be used in  local decision making, for example information on urban flooding for contingency planners. However, the  CPM and RCM ensembles sample a narrower range of uncertainty than the UKCP18 Strand 1  1  The range quoted corresponds to the UK-average of the 2nd lowest to 2nd highest responses across the 12-member CPM ensemble.  2  UK-average of the central response across the 12-member ensemble  3  UK-average of the central estimate across the 12-member CPM ensemble  Source: Met Office © Crown Copyright 2019 www.metoffice.gov.uk Pg 5 of 153']","In the CPM projections, it rains less often in the future, but the rain is heavier when it does. This shift to more intense rainfall in summer is more pronounced in the CPM projections.",reasoning,True,gpt-4-turbo,sections,,,,,
How does UKCP18 help manage urban climate risks?,"['chunk: UKCP18 will help businesses and individuals to take action to improve resilience.  Web pages have been  designed and tested to enable users to access information quickly depending on what people want to use it  for, as well as being able to visualise the results. Guidance materials describe the different components of  the project in detail and explain how to use them. 5.4 UKCP Local (2.2km) provides enhanced detail that can help inform future risk assessments and local  decision-making on future climate change.  For example, it can be used as a tool to explore change in urban  climate, where projected increases in the frequency and intensity of hot summer days and duration of hot  spells in the future, along with urban development and increasing population density will exacerbate the  risks of heat exposure to the most vulnerable members of society. Met Office and the Met Office logo are registered trademarks.  01717  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 12 of 12']","UKCP18 provides enhanced detail through UKCP Local (2.2km) that can help inform future risk assessments and local decision-making on future climate change, including exploring changes in urban climate where projected increases in the frequency and intensity of hot summer days and duration of hot spells, along with urban development and increasing population density, will exacerbate the risks of heat exposure to the most vulnerable members of society.",reasoning,True,gpt-4-turbo,sections,,,,,
"""How will UK snowfall alter by 2061-2080 under RCP8.5 vs 1981-2000?""","['chunk: •  Widespread and substantial snow events have occurred in 2018, 2013, 2010 and 2009, but their  number and severity have generally declined since the 1960s. •  For the period 2061-2080, under a high emissions scenario (RCP8.5), the Regional (12km) and Local   (2.2km) projections show a decrease in both falling and lying snow across the UK relative to the   1981-2000 baseline. In general, the decreases in percentage terms are smaller in both falling and lying  snow in mountainous regions (e.g. Scottish Highlands) than in low-lying regions (e.g. southern England). •  There are differences in estimates of future snow between the Regional (12km) and Local  (2.2km)  projections. Decreases in both falling and lying snow (over Scottish mountains) are larger in the regional  projections compared to the local projections. We have greater confidence in the new Local (2.2km)  projections compared to the Regional projections, since differences can be linked to the improved  representation of wintertime convective showers and topography in the 2.2km model. •  The Updated Local 2.2km projections (released July 2021) have a much improved representation of  snowfall and lying snow at the surface compared to the original Local 2.2km projections (released  September 2019). In general this leads to greater consistency between the Local (2.2km) and Regional  (12km) projections. Regional (12km) projections Local (2.2km) projections Winter mean  snowfall -100 -80 -60 -40 -20 0 20 Change in snowfall (%) Winter mean  lying snow Change in lying snow (%) Figure 1  Future change in snow variables in winter for 2061-2080 compared to 1981-2000. Maps of future percentage change (%) in winter mean  snowfall (top row) and winter mean lying snow (bottom row) averaged across the 12 members of the CPM-12 (left) and RCM-PPE (right).  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 2 of 7']","For the period 2061-2080, under a high emissions scenario (RCP8.5), there will be a decrease in both falling and lying snow across the UK relative to the 1981-2000 baseline.",reasoning,True,gpt-4-turbo,sections,,,,,
What UKCP Local 2.2km vars should be used cautiously due to graupel error?,"['chunk: 9 th  September 2020  Elizabeth Kendon, Steven Chan, Hayley Fowler, Fai Fung, Jason Lowe, James Murphy, Cath Senior,  Christopher Short, Simon Tucker and Jonathan Wilkinson    Headlines  •   We have found an error within the UKCP Local 2.2km climate model in the computer code  that determines how much of the solid precipitation falls as snow and how much as small ice  pellets.   •   No other UKCP product is affected by the error, and top-level messages from UKCP in terms  of climate change in the UK are unchanged.  •   The existing 2.2km data can still be used for many applications, but extra care is needed in  the use of data for some variables and locations. The variables primarily affected are snow  and winter temperature especially over Scotland, for which the existing 2.2km data should  not be used. Also affected but to a lesser extent are winter precipitation, hourly  precipitation extremes across the UK and wind extremes over the ocean and north-west  coastal regions, and for these variables the existing 2.2km data should be used with caution.  The variables unaffected are summer temperature including extremes and summer mean  precipitation.   •   New data with the error fixed will be issued, with a planned release for Spring 2021.  •   On fixing the error, the simulation of lightning is considerably improved, allowing it to be  potentially provided as a user diagnostic in the new release in 2021.  •   This report is aimed at more technical users of the 2.2km data, providing guidance on when  applications are likely unaffected by the error or where users should wait for the new 2.2km  data.   Summary  An error has been found within the UKCP 2.2km climate model in the scheme that represents graupel,  which are soft small ice pellets with higher densities and fall speeds than snow. Graupel is typically  smaller than hail and forms when supercooled water coats a snowflake. Subsequent testing has shown  that the UKCP Local (2.2km) projections (including for temperature, precipitation and wind) can still  provide important information for many applications related to climate change but there is a need to  update the user guidance on use of the UKCP 2.2km data, with additional caveats. Over the coming  months, we will provide new additional simulations from the UKCP 2.2km climate model with the error  fixed, which should ultimately be treated as the preferred dataset.    The graupel error emerged whilst having a detailed look at simulations performed with the same  version of the model over the Colorado mountains. The error was in the code that controls the  fraction of snow converted to graupel, rather than in the total snow/ice amount, and in general  resulted in too much snow being converted to graupel. In the operational weather forecast model,  graupel is included but the section of erroneous code is turned off, and thus operational weather  forecasts are not impacted. No other UKCP product is affected by the error, and top-level messages  from UKCP in terms of climate change in the UK (Lowe et al 2018) are not impacted.  Some rapid tests have been performed for one 2.2km ensemble member to look at the consequences  of the graupel code error for the UKCP Local simulations. These show that for many variables and\nheading: Technical note: Issue with UKCP Local (2.2km) simulation data |ukcp_graupel_technical_note.pdf\nfile_name: ukcp_graupel_technical_note.pdf\nsection_id: 587\nfile_id: 61']","The variables that should be used cautiously due to the graupel error in the UKCP Local 2.2km model are snow and winter temperature especially over Scotland, winter precipitation, hourly precipitation extremes across the UK, and wind extremes over the ocean and north-west coastal regions.",reasoning,True,gpt-4-turbo,sections,,,,,
"""Which model better predicts UK highland snow, RCM or CPM?""","['chunk: •  Both models represent the spatial variability well across the UK in winter  (i.e. greater snowfall in northern and highland areas). •  The winter-to-winter temporal variability in falling snow is better represented in the RCM. •  The winter-to-winter temporal variability in lying snow is better represented in the CPM. The differences between the RCM and CPM are mainly due to the differences in the way the models simulate  snowfall and the improved representation of topography in the CPM (see Kendon et al, 2019a, Section 3.5  for further details). In the updated Local 2.2km projections (released July 2021), there is a much improved  representation of snowfall and lying snow at the surface compared to the original Local 2.2km projections  (released September 2019). In general this leads to greater consistency between the CPM and RCM. The updated Local (2.2km) model produces more snowfall over the Scottish mountains and less in the  vicinity of the northwest coastline of Scotland compared to the RCM. There is also more lying snow over high  ground in Scotland in the CPM. These differences are likely explained by the higher resolution of the CPM  leading to a better representation of mountains, and the ability of the CPM to better represent the  movement of convective showers inland. Therefore, the Local (2.2km) projections provide the best  information available on snow in the UKCP suite of products, due to the better representation of topography  and wintertime convective showers. What do you need to be aware of? This factsheet details the biases in the data, though direct comparison with observations is difficult. Users  should be aware that both the Regional (12km) and Local (2.2km) projections underestimate uncertainties,  as they only downscale versions of the Met Office Hadley Centre model. Although the local projections can provide information on small-scale weather events in the future, they  should not be confused with an operational weather forecast, which provides information on weather that is  likely to be experienced in the next few days. Instead the local projections provide a set of plausible projections  of climate change for the UK, if we follow a high emission scenario (i.e. RCP8.5). In particular, they provide  information on the local effects of changes in the types of weather that may be experienced in the future.  The local projections sample a narrower range of potential future outcomes than the full set of global  projections. In particular, the regional climate models only downscale 12 members of the PPE-15 (and are in  turn downscaled using the CPM) and none of the CMIP5-13. If you would like to explore other potential  futures, consider using the EURO-CORDEX multi-model regional climate model simulations   (see  www.euro-cordex.net ).  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 5 of 7']",The CPM model better predicts UK highland snow.,reasoning,True,gpt-4-turbo,sections,,,,,
How does UKCP18 Local (2.2km) boost local climate resilience through small-scale atmospheric simulations?,"['chunk: The new Local (2.2km) provides the most physically realistic projections of extremes in local areas for  the coming decades and gives access to sub-daily information.  But, like the Regional (12km), Local (2.2km)  projections span a narrower range of uncertainty compared to the Global (60km) projections. Therefore, we  advise using the Local (2.2km) projections in parallel with other products in the UKCP18 toolkit. 1.8 The new UKCP Local (2.2km) provides, for the first time, national climate change information on a  similar resolution to that of current operational weather forecast models.  Local (2.2km) allows us to  simulate better the type of small-scale behaviour seen in the real atmosphere, including atmospheric  convection 2 , as well as the influence of mountains, coastlines and urban areas. Locally relevant information  can help to inform decision-making on future climate change, to enhance resilience, and adds further  capability to the UKCP18 suite of climate projection tools. 1.9 The new Local (2.2km) projections provide output at hourly scales which is needed for some user  applications, better informing future risk assessments.  Local (2.2km) provides data at kilometre and  hourly scales that can be directly fed into impact models and local decision-making tools. For example,  hourly rainfall data can be used to inform future changes in surface water flood risk for urban flood  management schemes and contingency planners. Data on future extreme heat can be used for decision- making around key infrastructure including bridges, trainlines and thermal performance of buildings. 1.10 Climate science is continually advancing.  We can expect new results to emerge during the coming years  from observations, and from new generations of global, regional and local climate models.  The products  and services will therefore continue to be developed over the coming months and years, informed by  further user input as well as developments in modelling capability. 2  Motion caused by the tendency of hotter, less dense fluid (liquid or gas) to rise, and cooler, more dense fluid to sink, under the influence of gravity.  In the atmosphere, convection leads to vertical transfer of heat and moisture, driving the development of showers and thunderstorms.  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 5 of 12']","The UKCP18 Local (2.2km) boosts local climate resilience through small-scale atmospheric simulations by allowing better simulation of small-scale behavior seen in the real atmosphere, including atmospheric convection, as well as the influence of mountains, coastlines, and urban areas. This locally relevant information can help inform decision-making on future climate change, to enhance resilience.",reasoning,True,gpt-4-turbo,sections,,,,,
How does UKCP Global (60km) model NAO's effect on UK climate under RCP 8.5?,"['chunk: This is one of a series of factsheets that describe a set of indices representing large-scale drivers of UK  weather and climate in UKCP Global (60km) - a product from the latest UK Climate Projections published in  2018 consisting of 28 global climate model simulations. The factsheets and indices data are aimed at users  wishing to carry out in-depth analysis of climate model behaviour. The day-to-day or year-to-year variations in large-scale atmospheric circulation conditions over the  Atlantic and wider European region drive significant fluctuations in the rainfall, temperature or wind  strength and direction that might be experienced in a particular part of the UK. There are a number of  different ways of characterising these large-scale drivers of UK and European climate. The index covered in  this factsheet describes the North Atlantic Oscillation (NAO), other factsheets describe the Atlantic jet  stream (strength and latitude) and European weather patterns (sets of 8 and 30). The factsheets are  available on the  UKCP web pages  and the metrics are available through the  CEDA Archive . The European circulation indices provide users with the opportunity to explore the impact of changes in the  drivers of variability and future changes on climate variables that may have more direct impacts, such as  rainfall, windiness or local temperatures. How the large-scale drivers might respond to a warming  atmosphere as a result of increasing greenhouse gases remains uncertain, contributing significantly to  uncertainty in future changes in local weather and climate. Exploring projections in this way can improve  our understanding of the changes that we see to UK climate in the UK Climate Projections and potentially  help us to build confidence in UK climate impacts assessments. This factsheet provides an introduction to the Atlantic pressure gradient as an indicator of the North  Atlantic Oscillation (NAO). We include some key results from analysis which show how realistically the  models used in UKCP Global (60km) represent the winter NAO compared to observations, and how the  NAO changes in the projections of future climate out to 2100 under RCP 8.5. These indices are available for UKCP Global (60km) under a single high emission scenario (RCP 8.5). This  28-member dataset include 15 variants of the Met Office Hadley Centre’s model (referred to here as  ‘PPE-15’) and 13 models from other modelling centres around the world from the Coupled Model Inter- comparison Project 5 (referred to here as ‘CMIP5-13’). These two ensembles are combined to form the  28-member UKCP Global (60km) in order to capture uncertainty associated with the choice of model used.  We recommend that users read the UKCP18 Science Overview (Lowe et al., 2018) to understand the  different components of the projections and a comprehensive description of the underpinning science,  evaluation and results; see the UKCP18 Land Science Report (Murphy et al, 2018).']","The UKCP Global (60km) model shows how the NAO changes in the projections of future climate out to 2100 under RCP 8.5, indicating the effect of the North Atlantic Oscillation on UK climate under this high emission scenario.",reasoning,True,gpt-4-turbo,sections,,,,,
"""What are the guidelines for representing climate variables in UKCP18 scenarios?""","['chunk: Additional caveats and limitations come with:  •  Derived projections. •  Extended exploratory time-mean sea level projections.  •  Tide and surge simulations. The derived projections over UK land areas use approximate methods to produce an estimate of RCP2.6  and global warming levels of 2 and 4 ° C (compared to pre-industrial). This introduces additional  uncertainties. One of the major assumptions is that we can use the climate model time series that reach  particular warming levels through the 21 st  century (transient) to inform a future that has reached a steady  warming level (stabilized). There is some evidence that future climate outcomes at a particular global  warming level can differ depending on whether that warming level is transient or stabilized (e.g. Ceppi et al,  2018). See UKCP18 Derived Scenarios Report (Gohar et al, 2018).  The extended exploratory time-mean sea level projections have much lower confidence than the 21 st   Century Projections. Consider these projections as sensitivity studies and do not interpret them as showing  the full range of post-2100 behaviour, or the most likely behaviour. The potential for additional sea level rise  from Antarctic dynamic ice discharge is even more uncertain on these time horizons, with some studies  suggesting several additional metres of rise by 2300 under RCP8.5.  The simulations of changes in tide and surge characteristics make the simple assumption of a fixed  coastline under all levels of future sea level rise.  10.  Take care when comparing/combining variables When carrying out analyses that consider more than one variable, ensure that any outcomes are consistent  and coherent in their representation of the changes. For the probabilistic projections, there is no spatial  coherence. For the global, regional, local and derived projections ensure that you choose variables from the  same member of the set of projections. For example, summer temperature from one member is unlikely to  be consistent with precipitation from another. Choosing a model based on being amongst the largest of the probabilistic climate changes in summer  does not necessarily translate into the same model being in such an extreme position in the winter  change results.   Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 5 of 6']","When carrying out analyses that consider more than one variable, ensure that any outcomes are consistent and coherent in their representation of the changes. For the probabilistic projections, there is no spatial coherence. For the global, regional, local and derived projections ensure that you choose variables from the same member of the set of projections.",reasoning,True,gpt-4-turbo,sections,,,,,
"""How do RCM and CPM precip changes vary with orography?""","['chunk: •  1) Influence of baseline.  In the present-day, winter mean precipitation is higher in the RCM than CPM  over land and the coastal sea areas (although winter mean precipitation is lower over the North Atlantic  to the northwest of the UK). This is linked to precipitation being more frequent in the parameterised  convection model, with many fewer dry days/hours (Section 3.4). Given that total precipitation is higher  in the RCM than in the CPM, processes leading to the local formation of precipitation must act more in  the RCM (since the same moisture is being advected in through the lateral boundaries), with higher  evaporation rates over sea in the RCM (Table 4.1). This is also true in the future climate, although with  smaller relative differences between the models. In future, the greater increase in winter mean  precipitation in the CPM over land is due to a greater increase in precipitation occurrence (Section 4.3),  as well as a greater increase in the contribution from intense  precipitation events (see point 2 below).  Given the large number of wet days/hours in the baseline climate in the RCM, there is less scope for this  to increase in the future (c.f. Figs 5.2 and 5.3 for relationship between present-day biases and future  changes for seasonal mean precipitation). Indeed, we find that the number of wet days/hours over land  actually decreases in the RCM in future over the eastern side of the UK (Section 4.3), in part offsetting  the increased precipitation over the western side associated with orography (see point 2). •  2) Role of orography   The largest precipitation events (in terms of hourly or daily accumulations) mostly  occur over orography in winter. It is these large events which are the main contributors to the total  precipitation (rather than the much more numerous light events) and which show the largest future  changes in actual contribution to total precipitation (Section 4.4). In the RCM it rains much more  frequently over orography, with a tendency for too much continuous generation of rain over the  mountains (Section 3.3, Fig 3.3.4). The CPM does not rain as frequently (although when it does, it does so  with greater intensity), leading to lower mean precipitation on the upslopes in the present-day (Section  3.2). Given the more frequent nature of orographic precipitation in the RCM in the present-day, there is  less scope for this to increase in future. In addition, the increases in precipitation contribution from the  highest intensities over orography in future are greater in t he CPM than RCM (Section 4.4).  Source: Met Office © Crown Copyright 2019 www.metoffice.gov.uk Pg 66 of 153']","In the RCM, it rains much more frequently over orography with a tendency for too much continuous generation of rain over the mountains. The CPM does not rain as frequently, but when it does, it does so with greater intensity, leading to lower mean precipitation on the upslopes in the present-day. In future, the increases in precipitation contribution from the highest intensities over orography are greater in the CPM than in the RCM.",reasoning,True,gpt-4-turbo,sections,,,,,
"""What's the max storminess contribution to sea level from UKCP18 and GFDL-ESM2M?""","['chunk: Section summary: UKCP18 projections of change in extreme coastal water levels are dominated by  time-mean sea level increase� There is a potential for an additional contribution due to atmospheric  storminess changes over the 21 st  century� We present two strands of evidence to explore this additional  contribution� Firstly, we present results from an ensemble of regionally-downscaled climate model  simulations under RCP8�5 that samples a range of storminess change� Based on this ensemble, we  present a best estimate of zero additional contribution around the UK� The largest trends across the  ensemble have a magnitude of about 1 mm/yr (which is about 10% of the projected time-mean sea  level rise) and can be positive (augmenting the mean sea level change) or negative (partially offsetting  the mean sea level change)� Secondly, we present an illustrative “high-end” projection based on the  GFDL-ESM2M global model simulation under RCP8�5� Under this projection for some locations the trend  in the 200-year return level due to the additional contribution can be as large 2-3 mm/yr� This  simulation explores changes that might be found outside the range of the regionally-downscaled  simulations and may be useful for sensitivity testing and contingency planning� However, it does not  represent an upper limit on the additional contribution over the 21 st  century� Based on our simulations it  is likely 2  that any negative additional contribution would be more than offset by regional mean sea level  increase� The effect of mean sea level increase on the propagation of tide and surg e is investigated  separately in section 4�3� 2   We do not quantify this likelihood, but even our lowest projections of mean sea level change under RCP8.5 would more than offset our most  negative projections of surge trends.  Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 19 of 133']",The maximum storminess contribution to sea level from UKCP18 and GFDL-ESM2M can be as large as 2-3 mm/yr.,reasoning,True,gpt-4-turbo,sections,,,,,
How does CPM variability enhance confidence in future precipitation projections?,"['chunk: Precipitation Winter mean  precipitation ✓  Reduced wet bias in  CPM. +   Substantially greater  increase in CPM Improved representation of daily precipitation  occurrence in explicit convection model, with greater  increase in precipitation occurrence in the future.  Large-scale processes common to both models also  driving increases in mean precipitation. ✓  Increased confidence in CPM projections due to  improved representation of daily variability, but  more work needed to understand present-day biases  and the relevance of these for future changes. Summer mean  precipitation ✓   Reduced wet bias in  CPM, except in S. ~   Similar decreases in  mean +   Enhanced changes in  underlying frequency and  intensity in CPM -   Similar changes in mean precipitation. Improved representation of daily rainfall occurrence  in CPM, linked to better representation of convective  processes, so increased confidence in CPM  projections of changes in frequency/intensity  components. Heavy daily events  in winter ✓   Improved biases over  mountains in CPM (where  RCM underestimates  heavy events). ~   Similar increases in  intensity of heavy events. -   Higher resolution and explicit convection in CPM  improves precipitation intensity, especially over  mountains. However future changes in daily  precipitation intensity are driven by large-scale  changes captured by both models. Heavy daily events  in summer ~   CPM overestimates and  RCM underestimates  intensity of heavy events +   Greater tendency for  increase in summertime  rainfall intensity in CPM CPMs give better representation of convection, but  tendency for heavy events to be too intense is known  bias in CPMs due to convection not being fully  resolved. RCM tends to underestimate heavy events  due to deficiencies in convection parameterisation. ✓   CPM better represents convective processes, but  further research is needed to establish the  importance of known biases in the heaviest events  for future projections. Hourly precipitation  variability (all seasons) ✓   RCM rainfall is too  frequent and low intensity,  with biases improved in  CPM. ✓   CPM better captures  afternoon peak in  convection. Improved representation of hourly rainfall  characteristics in explicit convection model;  although convection not fully resolved resulting in  heaviest events being too intense. ✓   Improved realism of hourly rainfall in the CPM  gives us greater confidence in CPM changes. RCM  projections of hourly precipitation change  considered unreliable. +   Enhanced changes in  hourly rainfall occurrence  in CPM +  Greater increase in  summer rainfall intensity  in CPM ~  Similar increase in  intensity in winter and  autumn ~   Similar increases in 2yr  return level -  Smaller increases in  CPM for 10yr (and longer)  return level in autumn and  winter Hourly precipitation  extremes (all seasons) ~   CPM overestimates the  intensity of hourly  extremes, but better  represents the rate at  which extremes increase  with increasing return  period. Convection-parameterised model underestimates  intensity of moderate extremes, and has unphysical  grid point storms leading to high values >100mm/h  in the far extreme tail. Explicit convection gives  more realistic extremes, but overestimates intensity  due to convection not being fully resolved. ✓   CPM projections plausible, but further work  needed to understand the importance of known  biases for future projections. RCM projections for  hourly precipitation extremes considered unreliable. Table B  Summary of present-day biases and future changes in CPM-12 compared to RCM-PPE, and our understanding of the model differences  (after Table 5.1 in Kendon et al, 2019).  Source: Met Office © Crown Copyright 2019 www.metoffice.gov.uk Pg 18 of 21']","Increased confidence in CPM projections is due to improved representation of daily variability, but more work is needed to understand present-day biases and the relevance of these for future changes.",reasoning,True,gpt-4-turbo,sections,,,,,
What tools better assess climate risks under UKCP18?,"['chunk: The UK Climate Projections 2018 (UKCP18) are based on the latest developments in climate science  and were subject to an independent peer review, from the commencement of the project, to assess the  science that underpins UKCP18.  The information available consists of historical observations and future  projections for the UK, covering both its land and marine environments. The land projections include  updated Probabilistic (maximum spatial resolution of 25km) scenarios for key climate variables to support  assessments of uncertainty. The Marine projections include updated projections of time-average sea level  rise around the UK coastline, and new projections of extreme water levels, including storm surges and tides.  Together, the wider suite of UKCP products will equip government, businesses and other interested parties  to assess the challenges and opportunities we face from our changing climate. For guidance on which set of  projections to use, please consult  UKCP18 Guidance: Ho w to use the land projections? 1.2 Building on the learning from UKCP09, user groups from government and the wider society, along with  the peer review panel, have helped to shape UKCP18, co-designing tools and capabilities to better meet  user needs.  For example, (i) changing the format of the data that is provided to the widely-used Ordnance  Survey’s coordinate system, (ii) an enhanced user interface that uses the latest web design and (iii) providing  datasets that represent UK climate in scenarios of 2 °C and 4 °C of global warming. 1.3 UKCP18 adds tools and capabilities, providing new insight compared to the previous projections, thus  enhancing capacity for analysing climate risks.  For example, UKCP18 includes projections for the globe,  enabling projected climate changes in the UK to be examined in a global context. 1.4 The Probabilistic projections (25km) typically provide the broadest ranges of uncertainty in future  changes for key UK climate variables and global average temperature.  These results are complemented  by the other products in the UKCP suite that provide sets of plausible projections showing how climate  might evolve within the range of uncertainty. 1.5 Global (60km) provides coverage of the entire planet, giving access to a range of plausible projections  that includes worldwide regions, as well as the UK.  Global (60km) provides information on large-scale  drivers that affect the patterns of weather in the UK. 1.6 Regional (12km) provides coverage over the UK and Europe at higher spatial detail, giving an improved  representation of daily extremes.  However, there are fewer projections available that span a narrower  range of uncertainty compared to the Global (60km) projections.  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 4 of 12']","UKCP18 adds tools and capabilities, providing new insight compared to the previous projections, thus enhancing capacity for analysing climate risks.",reasoning,True,gpt-4-turbo,sections,,,,,
